"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Louvain","Naive_CD4_T",0.978
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Louvain","CD4_T_memory",0.918
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Louvain","CD8_T",1
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Leiden","Naive_CD4_T",0.978
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Leiden","CD4_T_memory",0.919
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Leiden","CD8_T",0.999
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Kmeans","Naive_CD4_T",0.968
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Kmeans","CD4_T_memory",0.936
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Kmeans","CD8_T",0.995
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Hierarchical","Naive_CD4_T",0.952
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Hierarchical","CD4_T_memory",0.875
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Hierarchical","CD8_T",0.982
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Louvain","Naive_CD4_T",0.96
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Louvain","CD4_T_memory",0.946
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Louvain","CD8_T",0.987
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Leiden","Naive_CD4_T",0.957
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Leiden","CD4_T_memory",0.944
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Leiden","CD8_T",0.987
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Kmeans","Naive_CD4_T",0.959
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Kmeans","CD4_T_memory",0.947
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Kmeans","CD8_T",0.982
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Hierarchical","Naive_CD4_T",0.915
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Hierarchical","CD4_T_memory",0.87
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Hierarchical","CD8_T",0.967
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Louvain","Naive_CD4_T",0.972222222222222
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Louvain","CD4_T_memory",0.927777777777778
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Louvain","CD8_T",0.973333333333333
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Leiden","Naive_CD4_T",0.97
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Leiden","CD4_T_memory",0.925555555555556
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Leiden","CD8_T",0.973333333333333
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Kmeans","Naive_CD4_T",0.957777777777778
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Kmeans","CD4_T_memory",0.946666666666667
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Kmeans","CD8_T",0.99
